Borrower_ID,Crop_Type,Farm_Area_Acres,Irrigation_Type,Soil_Type,Season,Fertilizer_Used_Tons,Current_LTV_Ratio,Months_Since_Delinquency,Stress_Probability,Requires_Intervention
FARM-1000,Tomato,318.44,Drip,Sandy,Kharif,34.15,0.51,27,0.4861241388052424,0
FARM-1001,Maize,835.76,Drip,Silty,Rabi,146.44,0.62,8,0.9553309783389416,1
FARM-1002,Carrot,1315.77,Manual,Clay,Kharif,106.94,0.68,27,0.45487109360764993,0
FARM-1003,Soybean,1111.73,Drip,Sandy,Zaid,28.02,0.83,-1,0.31857240287105804,0
FARM-1004,Barley,1219.51,Drip,Sandy,Zaid,150.33,0.6,9,0.5946969424541946,0
FARM-1005,Barley,1005.24,Rain-fed,Silty,Zaid,53.21,0.74,-1,0.4094200129898229,0
FARM-1006,Cotton,1053.8,Flood,Silty,Zaid,188.37,0.6,-1,0.626518318012364,0
FARM-1007,Potato,1281.33,Rain-fed,Clay,Zaid,207.2,0.52,-1,0.46402303646134063,0
FARM-1008,Rice,412.02,Drip,Sandy,Kharif,22.47,0.7,-1,0.32848775674912967,0
FARM-1009,Carrot,759.67,Flood,Clay,Zaid,42.41,0.56,36,0.3836515237647569,0
FARM-1010,Cotton,370.75,Drip,Sandy,Zaid,34.54,0.68,28,0.6216566104956268,0
FARM-1011,Maize,1482.12,Drip,Loamy,Zaid,321.9,0.75,-1,0.44610111063862634,0
FARM-1012,Wheat,1418.89,Manual,Loamy,Kharif,146.9,0.52,-1,0.3883487085573831,0
FARM-1013,Barley,107.17,Drip,Loamy,Zaid,10.95,0.68,-1,0.5243192976028734,0
FARM-1014,Barley,1073.08,Flood,Sandy,Kharif,67.26,0.87,-1,0.514237211774256,0
FARM-1015,Barley,1391.61,Flood,Loamy,Zaid,89.14,0.47,-1,0.3934406878746652,0
FARM-1016,Tomato,311.83,Flood,Silty,Rabi,20.26,0.65,32,0.62117858580455,0
FARM-1017,Soybean,873.52,Manual,Loamy,Rabi,21.54,0.92,42,0.44955372941126487,0
FARM-1018,Sugarcane,1377.46,Drip,Clay,Zaid,233.56,0.75,-1,0.6930754661160393,1
FARM-1019,Tomato,99.22,Sprinkler,Silty,Zaid,16.17,0.88,22,0.8420962558701267,1
FARM-1020,Rice,1061.26,Manual,Loamy,Zaid,99.07,0.83,-1,0.33961413625525955,0
FARM-1021,Cotton,481.16,Sprinkler,Loamy,Zaid,63.01,0.84,-1,0.5815150247593459,0
FARM-1022,Tomato,1390.37,Manual,Sandy,Kharif,242.44,0.76,-1,0.7769617483453714,1
FARM-1023,Tomato,1458.03,Drip,Loamy,Rabi,213.32,0.78,-1,0.5690565383207999,0
FARM-1024,Sugarcane,1419.19,Flood,Clay,Kharif,324.75,0.62,7,0.8645148049508996,1
FARM-1025,Wheat,737.61,Drip,Loamy,Rabi,75.8,0.66,-1,0.43819575697779356,0
